日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2022-12-30,14.92,14.93,16.65,14.43,499874,772346066.0,26.43,77.74,6.53,71.31
2023-01-03,15.67,17.17,18.28,15.42,447270,756059970.0,19.16,15.0,2.24,59.79
2023-01-04,17.88,16.55,18.4,16.07,432928,739127200.0,13.57,-3.61,-0.62,57.87
2023-01-05,16.2,15.79,16.8,15.73,317718,514208860.0,6.47,-4.59,-0.76,42.47
2023-01-06,15.96,16.68,17.01,15.77,349721,573538024.0,7.85,5.64,0.89,46.75
2023-01-09,17.08,17.02,17.58,16.18,336825,571036092.0,8.39,2.04,0.34,45.02
2023-01-10,16.67,18.27,19.8,16.67,400056,735025978.0,18.39,7.34,1.25,53.47
2023-01-11,17.92,18.47,19.17,17.46,340595,621383314.0,9.36,1.09,0.2,45.53
2023-01-12,18.33,18.18,19.02,17.72,295661,545033586.0,7.04,-1.57,-0.29,39.52
2023-01-13,18.3,18.24,19.08,18.12,293683,546884176.0,5.28,0.33,0.06,39.26
2023-01-16,17.61,18.02,18.78,17.61,258965,476244018.0,6.41,-1.21,-0.22,34.62
2023-01-17,18.58,18.78,19.89,18.42,338812,645347060.0,8.16,4.22,0.76,45.29
2023-01-18,18.82,19.87,20.51,18.63,334484,654566855.0,10.01,5.8,1.09,44.71
2023-01-19,19.6,18.72,19.68,18.72,250070,479407265.0,4.83,-5.79,-1.15,33.43
2023-01-20,18.91,18.02,18.92,17.77,230198,420328646.0,6.14,-3.74,-0.7,30.77
2023-01-30,18.22,18.36,18.74,18.05,179787,331693616.0,3.83,1.89,0.34,24.03
2023-01-31,17.99,17.55,18.05,17.24,211103,371375519.0,4.41,-4.41,-0.81,28.22
2023-02-01,17.71,18.33,18.39,17.62,218448,398042934.0,4.39,4.44,0.78,29.2
2023-02-02,18.42,18.52,19.03,18.19,238477,444769142.0,4.58,1.04,0.19,31.88
2023-02-03,18.19,18.22,18.71,17.91,154390,282992755.0,4.32,-1.62,-0.3,20.64
2023-02-06,18.17,17.72,18.3,17.5,128556,229752997.0,4.39,-2.74,-0.5,17.18
2023-02-07,17.7,18.54,18.73,17.42,230543,420314422.0,7.39,4.63,0.82,30.82
2023-02-08,18.27,17.98,18.82,17.88,164785,302372653.0,5.07,-3.02,-0.56,22.03
2023-02-09,17.64,18.48,18.67,17.5,196785,361157546.0,6.51,2.78,0.5,26.3
2023-02-10,18.48,18.81,19.29,18.38,214119,406549386.0,4.92,1.79,0.33,28.62
2023-02-13,18.5,18.91,19.25,18.45,149346,281124067.0,4.25,0.53,0.1,19.96
2023-02-14,18.81,19.27,19.42,18.54,192973,369909970.0,4.65,1.9,0.36,25.79
2023-02-15,19.22,18.74,19.24,18.6,165368,312656333.0,3.32,-2.75,-0.53,22.1
2023-02-16,18.62,17.5,18.72,17.49,196342,355694652.0,6.56,-6.62,-1.24,26.24
2023-02-17,17.45,17.03,17.67,17.0,109569,189954430.0,3.83,-2.69,-0.47,14.65
2023-02-20,17.08,17.23,17.29,16.83,81048,139290270.0,2.7,1.17,0.2,10.83
2023-02-21,17.09,17.25,17.39,16.94,81321,140391011.0,2.61,0.12,0.02,10.87
2023-02-22,16.99,17.21,17.37,16.95,49694,85613639.0,2.43,-0.23,-0.04,6.64
2023-02-23,17.22,17.21,17.4,17.02,72291,125073642.0,2.21,0.0,0.0,9.66
2023-02-24,17.3,17.36,17.53,17.24,86674,151369487.0,1.69,0.87,0.15,11.59
2023-02-27,17.04,16.71,17.17,16.58,86602,146035419.0,3.4,-3.74,-0.65,11.58
2023-02-28,16.84,16.73,16.99,16.42,65895,110540251.0,3.41,0.12,0.02,8.81
2023-03-01,16.65,16.9,16.9,16.54,67365,113317669.0,2.15,1.02,0.17,9.0
2023-03-02,17.02,17.26,17.73,16.87,133288,231681232.0,5.09,2.13,0.36,17.82
2023-03-03,17.76,17.52,18.47,17.49,175153,315981628.0,5.68,1.51,0.26,23.41
2023-03-06,17.32,17.82,18.22,17.15,157121,278020719.0,6.11,1.71,0.3,21.0
2023-03-07,17.54,16.82,17.76,16.8,121908,211244343.0,5.39,-5.61,-1.0,16.3
2023-03-08,16.72,17.22,17.35,16.72,82390,141841917.0,3.75,2.38,0.4,11.01
2023-03-09,17.07,17.83,18.21,17.06,188777,338483409.0,6.68,3.54,0.61,25.23
2023-03-10,17.83,20.01,21.41,17.77,437186,878561492.0,20.42,12.23,2.18,58.44
2023-03-13,19.52,19.08,19.7,18.93,276874,534616314.0,3.85,-4.65,-0.93,37.01
2023-03-14,19.73,21.31,22.34,19.47,465506,967673494.0,15.04,11.69,2.23,62.22
2023-03-15,20.93,22.4,23.12,20.37,433838,935428937.0,12.9,5.11,1.09,57.99
2023-03-16,21.91,21.78,22.62,21.27,288675,631861867.0,6.03,-2.77,-0.62,38.59
2023-03-17,21.92,21.51,22.28,21.12,284121,616692354.0,5.33,-1.24,-0.27,37.98
2023-03-20,21.26,20.36,21.5,20.25,230816,482053684.0,5.81,-5.35,-1.15,30.85
2023-03-21,20.52,20.74,21.21,20.08,184898,382528801.0,5.55,1.87,0.38,24.71
2023-03-22,20.52,20.24,20.6,19.72,177895,359258232.0,4.24,-2.41,-0.5,23.78
2023-03-23,20.02,21.22,21.27,19.92,270815,562403327.0,6.67,4.84,0.98,36.2
2023-03-24,20.82,20.14,20.84,20.05,185401,378668831.0,3.72,-5.09,-1.08,24.78
2023-03-27,19.96,19.84,20.52,19.79,131275,264838729.0,3.62,-1.49,-0.3,17.55
2023-03-28,19.64,20.04,20.48,19.53,129752,261811937.0,4.79,1.01,0.2,17.34
2023-03-29,19.95,20.91,21.22,19.92,195590,406236253.0,6.49,4.34,0.87,26.14
2023-03-30,20.72,21.61,22.07,20.32,289268,616842753.0,8.37,3.35,0.7,38.67
2023-03-31,21.22,21.39,21.69,20.86,168479,360414441.0,3.84,-1.02,-0.22,22.52
